CONAME,address,lat,lon,distance
BALCHEM CORP  -CL B,"52 Sunrise Park Road, New Hampton, NY, 10958",41.4187,-74.42456999999999,357.6784653411499 km
BALL CORP,"10 Longs Peak Drive, PO Box 5000, Broomfield, CO, 80021",39.91193,-105.09925,2409.5454872745013 km
BANK OF HAWAII CORP,"130 Merchant Street, Honolulu, HI, 96813",21.30835,-157.86231999999998,7784.145655389186 km
BANK OF NEW YORK MELLON CORP,"One Wall Street, New York, NY, 10286",40.70807,-74.01144000000001,328.01402163500455 km
BARD (C.R.) INC,"730 Central Avenue, Murray Hill, NJ, 7974",32.313629999999996,-81.39224,829.9396274777139 km
BARNES GROUP INC,"123 Main Street, Bristol, CT, 6010",41.670840000000005,-72.94327,464.77858942835155 km
BARRICK GOLD CORP,"Brookfield Place, TD Canada Trust Tower, Suite 3700, 161 Bay, Toronto, ON, M5J 2S1",43.64645,-79.37905,562.6034570642673 km
BAXTER INTERNATIONAL INC,"One Baxter Parkway, Deerfield, IL, 60015",42.16024,-87.88415,986.8754421552165 km
APPLIED INDUSTRIAL TECH INC,"1 Applied Plaza, Cleveland, OH, 44115",41.502790000000005,-81.66529,488.6032102666944 km
BECTON DICKINSON & CO,"1 Becton Drive, Franklin Lakes, NJ, 7417",41.01723,-74.20918,337.3655399210773 km
BEL FUSE INC,"206 Van Vorst Street, Jersey City, NJ, 7302",40.71443,-74.04101,326.4435623401147 km
VERIZON COMMUNICATIONS INC,"1095 Avenue of the Americas, New York, NY, 10036",40.75465,-73.98476,332.9290732254382 km
BEMIS CO INC,"One Neenah Center, 4th Floor, PO Box 669, Neenah, WI, 54957",44.18600000000001,-88.45954,1117.8794859259542 km
BERKSHIRE HATHAWAY,"3555 Farnam Street, Suite 1440, Omaha, NE, 68131",41.25721,-95.96546,1632.1469650738898 km
BEST BUY CO INC,"7601 Penn Avenue South, Richfield, MN, 55423",44.863929999999996,-93.30573000000001,1500.399949744188 km
BIO-RAD LABORATORIES INC,"1000 Alfred Nobel Drive, Hercules, CA, 94547",38.02377,-122.27918999999999,3908.564896506184 km
BLACK HILLS CORP,"625 Ninth Street, Rapid City, SD, 57701",44.08023,-103.23351,2251.3961099581693 km
BLOCK H & R INC,"One H&R Block Way, Kansas City, MO, 64105",39.09792,-94.58328,1517.666107721695 km
ENSCO PLC,"6 Chesterfield Gardens, London, W1J 5BQ",51.5068,-0.14948,5912.345812426859 km
BOB EVANS FARMS,"8111 Smith's Mill Road, New Albany, OH, 43054",40.082029999999996,-82.76735,509.9457547233123 km
BOEING CO,"100 North Riverside, Chicago, IL, 60606",41.88384,-87.63878000000001,958.3302705042422 km
ROBERT HALF INTL INC,"2884 Sand Hill Road, Menlo Park, CA, 94025",37.420759999999994,-122.21453000000001,3921.837977610726 km
BRADY CORP,"6555 West Good Hope Road, Milwaukee, WI, 53223",43.14694,-87.99181999999999,1033.9076320711918 km
BRIGGS & STRATTON,"12301 West Wirth Street, Wauwatosa, WI, 53222",43.08375,-88.06546999999999,1036.655153036827 km
BRISTOL-MYERS SQUIBB CO,"345 Park Avenue, New York, NY, 10154",40.75772,-73.97235,333.9696783146571 km
BROWN FORMAN CORP,"850 Dixie Highway, Louisville, KY, 40210",38.24596,-85.78335,765.1881236043441 km
CALERES INC,"8300 Maryland Avenue, St. Louis, MO, 63105",38.652229999999996,-90.34678000000001,1155.7684324529746 km
BRUNSWICK CORP,"1 North Field Court, Lake Forest, IL, 60045",42.24125,-87.88905,990.0652190431487 km
MATERION CORP,"6070 Parkland Boulevard, Mayfield Heights, OH, 44124",41.5075,-81.45725999999999,474.7612103528699 km
ACXIOM CORP,"601 East Third Street, PO Box 8190, Little Rock, AR, 72203",34.744890000000005,-92.26433,1432.344835866803 km
CDI CORP,"1717 Arch Street, 35th Floor, Philadelphia, PA, 19103",39.951809999999995,-75.14192,200.92035041349723 km
