CONAME,address,lat,lon,distance
HAWKINS INC,"2381 Rosegate, Roseville, MN, 55113",45.01282,-93.18959,1497.7428859453548 km
HEALTHCARE SERVICES GROUP,"3220 Tillman Drive, Suite 300, Bensalem, PA, 19020",40.11649,-74.96033,224.18324105084002 km
WELLTOWER INC,"4500 Dorr Street, Toledo, OH, 43615",41.65598,-83.64599,639.7194964945886 km
KRAFT HEINZ CO,"One PPG Place, Pittsburgh, PA, 15222",40.44011,-80.00332,306.62317625378364 km
HELEN OF TROY LTD,"One Helen of Troy Plaza, El Paso, TX, 79912",31.8737,-106.57843999999999,2780.9377652359153 km
HELMERICH & PAYNE,"1437 South Boulder Avenue, Suite 1400, Tulsa, OK, 74119",36.14112,-95.98836999999999,1699.6605400250799 km
HERSHEY CO,"100 Crystal A Drive, Hershey, PA, 17033",40.30058,-76.64605999999999,159.36898595739436 km
HP INC,"1501 Page Mill Road, Palo Alto, CA, 94304",37.412040000000005,-122.14826000000001,3916.4952584122525 km
HILL-ROM HOLDINGS INC,"Two Prudential Plaza, Suite 4100, Chicago, IL, 60601",41.8903,-87.62196999999999,957.2013935140902 km
HOLLYFRONTIER CORP,"2828 North Harwood, Suite 1300, Dallas, TX, 75201",32.79449,-96.80819,1905.1256808514847 km
PINNACLE ENTERTAINMENT INC,"3980 Howard Hughes Parkway, Las Vegas, NV, 89169",36.11607,-115.15777,3360.020425256452 km
HOME DEPOT INC,"2455 Paces Ferry Road, NW, Atlanta, GA, 30339",33.855579999999996,-84.44083,867.904050521827 km
HNI CORP,"408 East Second Street, PO Box 1109, Muscatine, IA, 52761",41.42302,-91.04194,1223.9973364803263 km
HORMEL FOODS CORP,"1 Hormel Place, Austin, MN, 55912",43.68157,-92.96781999999999,1433.2578087779737 km
STARWOOD HOTELS&RESORTS WRLD,"One StarPoint, Stamford, CT, 6902",41.04291,-73.53482,382.4883743480005 km
CENTERPOINT ENERGY INC,"1111 Louisiana Street, Houston, TX, 77002",29.757170000000002,-95.36798,1962.4393016006393 km
URSTADT BIDDLE PROPERTIES,"321 Railroad Avenue, Greenwich, CT, 6830",41.02148,-73.63251,374.5297820509031 km
HUBBELL INC,"40 Waterview Drive, Shelton, CT, 6484",41.29605,-73.08071,429.8402314192659 km
HUNT (JB) TRANSPRT SVCS INC,"615 J.B. Hunt Corporate Drive, Lowell, AR, 72745",36.244640000000004,-94.14921,1537.5496547372409 km
HUNTINGTON BANCSHARES,"41 South High Street, Columbus, OH, 43287",39.96113,-83.00063,526.6132952891209 km
ITT CORP,"1133 Westchester Avenue, White Plains, NY, 10604",41.01619,-73.72547,368.0278980506339 km
RAYONIER INC,"225 Water Street, Suite 1400, Jacksonville, FL, 32202",30.32572,-81.66131,1040.7496219531506 km
IDACORP INC,"1221 West Idaho Street, Boise, ID, 83702",43.618759999999995,-116.20813999999999,3293.0605771903597 km
ILLINOIS TOOL WORKS,"155 Harlem Avenue, Glenview, IL, 60025",42.05857,-87.80464,977.1774485699771 km
VECTREN CORP,"One Vectren Square, Evansville, IN, 47708",37.97205,-87.5765,925.258825692901 km
INGERSOLL-RAND PLC,"Airside Business Park, 170/175 Lakeview Drive, Swords",,,
AEGION  CORP,"17988 Edison Avenue, St. Louis, MO, 63005",38.66483,-90.63309,1180.4391336356916 km
GRIFFON CORP,"712 Fifth Avenue, 18th Floor, New York, NY, 10019",40.82255,-73.80805,349.38026910875294 km
INTEGRATED DEVICE TECH INC,"6024 Silver Creek Valley Road, San Jose, CA, 95138",37.25656,-121.78835,3890.9093279858807 km
INTEL CORP,"2200 Mission College Boulevard, Santa Clara, CA, 95054",37.3877,-121.9635,3901.5956097127496 km
INTERFACE INC,"2859 Paces Ferry Road, Suite 2000, Atlanta, GA, 30339",33.86573,-84.47095,869.2135031979917 km
INTL BUSINESS MACHINES CORP,"1 New Orchard Road, Armonk, NY, 10504",41.10823,-73.72032,374.82877831009347 km
INTL FLAVORS & FRAGRANCES,"521 West 57th Street, New York, NY, 10019",40.76996,-73.98935999999999,333.65347384335263 km
INTERDIGITAL INC,"200 Bellevue Parkway, Suite 300, Wilmington, DE, 19809",39.77962,-75.49404,165.28781847074393 km
INTL PAPER CO,"6400 Poplar Avenue, Memphis, TN, 38197",35.101420000000005,-89.85055,1214.4014307885932 km
INTL SPEEDWAY CORP  -CL A,"One Daytona Boulevard, Daytona Beach, FL, 32114",29.192559999999997,-81.07114,1138.7501419829998 km
INTERPUBLIC GROUP OF COS,"909 Third Avenue, New York, NY, 10022",40.758309999999994,-73.96788000000001,334.3099868813984 km
INVACARE CORP,"1 Invacare Way, Elyria, OH, 44035",41.37229,-82.07119,509.22763730172403 km
ANIXTER INTL INC,"2301 Patriot Boulevard, Glenview, IL, 60026",42.09714,-87.82338,979.9490463353455 km
JACOBS ENGINEERING GROUP INC,"155 North Lake Avenue, Pasadena, CA, 91101",34.14853,-118.13348,3686.833187079204 km
EMCOR GROUP INC,"301 Merritt Seven, Norwalk, CT, 6851",41.14951,-73.42645999999999,396.9257454210745 km
JOHNSON & JOHNSON,"One Johnson & Johnson Plaza, New Brunswick, NJ, 8933",40.498709999999996,-74.4417,284.95591069151766 km
JOHNSON CONTROLS INC,"5757 North Green Bay Avenue, Milwaukee, WI, 53209",43.12571,-87.93564,1028.7757088354188 km
KLA-TENCOR CORP,"One Technology Drive, Milpitas, CA, 95035",37.41957,-121.92565,3897.373100343234 km
KINDER MORGAN INC,"1001 Louisiana Street, Suite 1000, Houston, TX, 77002",29.75788,-95.36739,1962.3468850399443 km
KAMAN CORP,"1332 Blue Hills Avenue, Bloomfield, CT, 6002",41.85825,-72.70923,493.08256776553264 km
GREAT PLAINS ENERGY INC,"1200 Main Street, Kansas City, MO, 64105",39.09962,-94.58353000000001,1517.6721583144604 km
KANSAS CITY SOUTHERN,"427 West 12th Street, Kansas City, MO, 64105",39.09997,-94.58963,1518.1948656282987 km
WESTAR ENERGY INC,"818 South Kansas Avenue, Topeka, KS, 66612",39.04801,-95.6745,1612.2199597175395 km
KELLOGG CO,"One Kellogg Square, Battle Creek, MI, 49016",42.35235,-85.23725999999999,792.1790709472433 km
KELLY SERVICES INC  -CL A,"999 West Big Beaver Road, Troy, MI, 48084",42.56086,-83.16617,658.0464741860509 km
KENNAMETAL INC,"1600 Technology Way, PO Box 231, Latrobe, PA, 15650",40.27721,-79.39317,253.69362244068208 km
KIMBERLY-CLARK CORP,"PO Box 619100, Dallas, TX, 75261",32.87489,-97.04382,1920.9813025914623 km
KIRBY CORP,"55 Waugh Drive, Suite 1000, Houston, TX, 77007",29.767490000000002,-95.39749,1964.0780580457786 km
KROGER CO,"1014 Vine Street, Cincinnati, OH, 45202",39.106629999999996,-84.51429,647.7945522727169 km
KULICKE & SOFFA INDUSTRIES,"23A Serangoon North Avenue 5, No. 01-01 K&S Corporate Headqu, Singapore, 554369",1.3758,103.87402,15543.690818849484 km
LSB INDUSTRIES INC,"16 South Pennsylvania Avenue, Oklahoma City, OK, 73107",35.4662,-97.54748000000001,1856.3211115177905 km
LA-Z-BOY INC,"One La-Z-Boy Drive, Monroe, MI, 48162",41.8368,-83.41044000000001,631.7116194455435 km
LACLEDE GROUP INC,"700 Market Street, St. Louis, MO, 63101",38.62594,-90.19224,1142.660796887321 km
LAM RESEARCH CORP,"4650 Cushing Parkway, Fremont, CA, 94538",37.4885,-121.95700000000001,3897.854031839361 km
LANCASTER COLONY CORP,"37 West Broad Street, Columbus, OH, 43215",39.96185,-83.00218000000001,526.7585971164864 km
SNYDERS-LANCE INC,"13024 Ballantyne Corporate Place, Suite 900, Charlotte, NC, 28277",35.05567,-80.84210999999999,544.3787740887248 km
LEGGETT & PLATT INC,"No. 1 Leggett Road, Carthage, MO, 64836",37.176829999999995,-94.38328,1532.2150718942328 km
LEGG MASON INC,"100 International Drive, Baltimore, MD, 21202-1099",39.28252,-76.60162,57.05619828021941 km
LENNAR CORP,"700 Northwest 107th Avenue, Miami, FL, 33172",25.775679999999998,-80.36968,1488.2475839608555 km
LEUCADIA NATIONAL CORP,"520 Madison Avenue, New York, NY, 10022",40.76028,-73.97439,334.0045342267629 km
LILLY (ELI) & CO,"Lilly Corporate Center, Indianapolis, IN, 46285",39.75358,-86.16147,792.0009575298576 km
L BRANDS INC,"Three Limited Parkway, Columbus, OH, 43230",40.05295,-82.89661,519.9881806017523 km
LINCOLN ELECTRIC HLDGS INC,"22801 St. Clair Avenue, Cleveland, OH, 44117",41.574940000000005,-81.54663000000001,485.2036521973343 km
LINCOLN NATIONAL CORP,"150 North Radnor Chester Road, Suite A305, Radnor, PA, 19087",40.040729999999996,-75.36409,192.01213087954105 km
KATE SPADE & CO,"2 Park Avenue, New York, NY, 10016",40.7463,-73.9825,332.52048593461336 km
LOCKHEED MARTIN CORP,"6801 Rockledge Drive, Bethesda, MD, 20817",39.03099,-77.13894,17.160524518849783 km
LOEWS CORP,"667 Madison Avenue, New York, NY, 10065",40.76448,-73.97027,334.5638264428425 km
RANGE RESOURCES CORP,"100 Throckmorton Street, Suite 1200, Fort Worth, TX, 76102",32.755759999999995,-97.33465,1951.2518376503817 km
LOUISIANA-PACIFIC CORP,"414 Union Street, Suite 2000, Nashville, TN, 37219",36.16496,-86.78081,912.3648888619084 km
LOWE'S COMPANIES INC,"1605 Curtis Bridge Road, Wilkesboro, NC, 28697",36.14976,-81.18121,476.46047611966736 km
LYDALL INC,"One Colonial Road, Manchester, CT, 6042",41.79789,-72.50519,501.9270996238129 km
MDC HOLDINGS INC,"4350 South Monaco Street, Suite 500, Denver, CO, 80237",39.63552,-104.91205,2397.201359283696 km
MDU RESOURCES GROUP INC,"1200 West Century Avenue, PO Box 5650, Bismarck, ND, 58506",46.83513,-100.81231,2122.443141575469 km
MTS SYSTEMS CORP,"14000 Technology Drive, Eden Prairie, MN, 55344",44.85924,-93.45408,1511.209326971605 km
MARATHON OIL CORP,"5555 San Felipe Street, Houston, TX, 77056",29.749470000000002,-95.47197,1971.084364296036 km
MARCUS CORP,"100 East Wisconsin Avenue, Suite 1900, Milwaukee, WI, 53202",43.038740000000004,-87.90951,1023.0066567665821 km
HOST HOTELS & RESORTS INC,"6903 Rockledge Drive, Suite 1500, Bethesda, MD, 20817",39.02832,-77.13906,16.910984429525275 km
MARSH & MCLENNAN COS,"1166 Avenue of the Americas, New York, NY, 10036",40.75676,-73.98177,333.27190011656245 km
MASCO CORP,"21001 Van Born Road, Taylor, MI, 48180",42.26778,-83.24257,644.6399781962425 km
MATTEL INC,"333 Continental Boulevard, El Segundo, CA, 90245",33.9203,-118.39185,3718.0645544492963 km
MCCORMICK & CO INC,"18 Loveton Circle, Sparks, MD, 21152",39.5199,-76.64907,76.8406522019745 km
MCDONALD'S CORP,"One McDonald's Plaza, Oak Brook, IL, 60523",41.84806,-87.94551,981.656692362009 km
MCGRAW HILL FINANCIAL,"55 Water Street, New York, NY, 10041",40.70296,-74.00948000000001,327.80709808380493 km
MCKESSON CORP,"One Post Street, San Francisco, CA, 94104",37.78903,-122.40273,3926.206982054099 km
MEDTRONIC PLC,"20 On Hatch, Lower Hatch Street, Dublin, 2",53.33439,-6.25569,5457.466681969457 km
CVS HEALTH CORP,"One CVS Drive, Woonsocket, RI, 2895",41.99207,-71.47704,583.4833525799954 km
MENTOR GRAPHICS CORP,"8005 SW Boeckman Road, Wilsonville, OR, 97070",45.31754,-122.75971000000001,3795.73455591798 km
MERCK & CO,"2000 Galloping Hill Road, Kenilworth, NJ, 7033",40.67858,-74.27373,308.503451764863 km
MEREDITH CORP,"1716 Locust Street, Des Moines, IA, 50309",41.58337,-93.63914,1441.2975935945785 km
METHODE ELECTRONICS INC,"7401 West Wilson Avenue, Chicago, IL, 60706",41.96471,-87.70959,966.562522891259 km
MICRON TECHNOLOGY INC,"8000 South Federal Way, Boise, ID, 83716",43.52922,-116.14698,3288.9259116541193 km
MICROSEMI CORP,"One Enterprise, Aliso Viejo, CA, 92656",33.58173,-117.72757,3674.007805272925 km
ENTERGY CORP,"639 Loyola Avenue, New Orleans, LA, 70113",29.94908,-90.07706999999999,1553.3366185468335 km
MILLER (HERMAN) INC,"855 East Main Avenue, PO Box 302, Zeeland, MI, 49464",42.8124,-85.99799,870.8977089242569 km
MSA SAFETY INC,"1000 Cranberry Woods Drive, Cranberry Township, PA, 16066",40.68311,-80.08173000000001,327.4320236965692 km
3M CO,"3M Center, St. Paul, MN, 55144",45.03308,-93.09398,1491.550977279167 km
ALLETE INC,"30 West Superior Street, Duluth, MN, 55802",46.7859,-92.09881,1506.9907793795783 km
MOOG INC  -CL A,"Jamison Road, East Aurora, NY, 14052",42.80453,-78.58698000000001,453.053858227081 km
RUBY TUESDAY INC,"150 West Church Avenue, Maryville, TN, 37801",35.7547,-83.97119,706.2319004529809 km
MOTOROLA SOLUTIONS INC,"1303 East Algonquin Road, Schaumburg, IL, 60196",42.06847,-88.04977,996.8803932406095 km
MURPHY OIL CORP,"200 Peach Street, P.O. Box 7000, El Dorado, AR, 71731-7000",33.21403,-92.66284,1539.7914283307082 km
MYERS INDUSTRIES INC,"1293 South Main Street, Akron, OH, 44301",41.05168,-81.52608000000001,451.73208245477366 km
MYLAN NV,"Building 4, Trident Place, Mosquito Way, Hatfield, Hertfordshire, AL10 9UL",51.76632,-0.24425999999999998,5897.024315195667 km
BANK OF AMERICA CORP,"Bank of America Corporate Center, 100 North Tryon Street, Charlotte, NC, 28255",35.227340000000005,-80.84271,529.394096491056 km
NANOMETRICS INC,"1550 Buckeye Drive, Milpitas, CA, 95035",37.40798,-121.91365,3896.7222759769975 km
NATIONAL FUEL GAS CO,"6363 Main Street, Williamsville, NY, 14221",42.96506,-78.71458,473.20320444978023 km
TENET HEALTHCARE CORP,"1445 Ross Avenue, Suite 1400, Dallas, TX, 75202",32.7847,-96.80266,1905.144816377024 km
NATIONAL PRESTO INDS INC,"3925 North Hastings Way, Eau Claire, WI, 54703",44.86334,-91.45498,1364.9839123399863 km
NEW JERSEY RESOURCES CORP,"1415 Wyckoff Road, Wall, NJ, 7719",40.21087,-74.12846,289.4939185372318 km
NEW YORK TIMES CO  -CL A,"620 Eighth Avenue, New York, NY, 10018",40.75614,-73.9903,332.65727875064664 km
NEWELL RUBBERMAID INC,"Three Glenlake Parkway, Atlanta, GA, 30328",33.93902,-84.36046,856.1808521824752 km
NEWMONT MINING CORP,"6363 South Fiddler's Green Circle, Suite 800, Greenwood Village, CO, 80111",39.600159999999995,-104.89223,2395.9945683025853 km
NEWPARK RESOURCES,"9320 Lakeside Boulevard, Suite 100, The Woodlands, TX, 77381",30.170790000000004,-95.47675,1944.441865071838 km
NEWPORT CORP,"1791 Deere Avenue, Irvine, CA, 92606",33.70015,-117.84216,3679.204578488728 km
NIKE INC  -CL B,"One Bowerman Drive, Beaverton, OR, 97005",45.50625,-122.82582,3798.845612002934 km
NOBLE ENERGY INC,"1001 Noble Energy Way, Houston, TX, 77070",29.994670000000003,-95.58084000000001,1963.855521932732 km
NORDSON CORP,"28601 Clemens Road, Westlake, OH, 44145",41.468990000000005,-81.93668000000001,505.35531299203853 km
NORDSTROM INC,"1617 Sixth Avenue, Seattle, WA, 98101",47.61241,-122.33599,3746.0749016910363 km
NORFOLK SOUTHERN CORP,"Three Commercial Place, Norfolk, VA, 23510",36.84559,-76.28873,237.1328600819574 km
MOVADO GROUP INC,"650 From Road, Suite 375, Paramus, NJ, 7652",40.96247,-74.06851999999999,342.0463771000424 km
EVERSOURCE ENERGY,"300 Cadwell Drive, Springfield, MA, 1104",42.15095,-72.54588000000001,524.6833243299654 km
NISOURCE INC,"801 East 86th Avenue, Merrillville, IN, 46410",41.4633,-87.32621999999999,920.6368886496246 km
XCEL ENERGY INC,"414 Nicollet Mall, Minneapolis, MN, 55401",44.97948,-93.27059,1502.3609497324753 km
NORTHERN TRUST CORP,"50 South La Salle Street, Chicago, IL, 60603",41.88108,-87.63247,957.7404525395244 km
NORTHROP GRUMMAN CORP,"2980 Fairview Park Drive, Falls Church, VA, 22042",38.86766,-77.2153,15.680008003713077 km
TEREX CORP,"200 Nyala Farm Road, Westport, CT, 6880",41.126329999999996,-73.32893,401.87613965611257 km
NORTHWEST NATURAL GAS CO,"220 North West, Second Avenue, Portland, OR, 97209",33.45983,-112.07642,3188.9639064585176 km
NORTHWESTERN CORP,"3010 West 69th Street, Sioux Falls, SD, 57108",43.49022,-96.75813000000001,1726.26098861399 km
WELLS FARGO & CO,"420 Montgomery Street, San Francisco, CA, 94104",37.79305,-122.40276000000001,3926.0848965827263 km
NUCOR CORP,"1915 Rexford Road, Charlotte, NC, 28211",35.15885,-80.8348,534.9109094476626 km
OCCIDENTAL PETROLEUM CORP,"5 Greenway Plaza, Suite 110, Houston, TX, 77046",29.7313,-95.43094,1969.052457012767 km
OCEANEERING INTERNATIONAL,"11911 FM 529, Houston, TX, 77041",29.87885,-95.59334,1972.2570560277854 km
BRISTOW GROUP INC,"2103 City West Boulevard, 4th Floor, Houston, TX, 77042",29.77778,-95.39759000000001,1963.4168973251242 km
FIRSTENERGY CORP,"76 South Main Street, Akron, OH, 44308",41.08324,-81.51807,452.9437081104468 km
OGE ENERGY CORP,"321 North Harvey, PO Box 321, Oklahoma City, OK, 73101",35.47064,-97.51925,1853.7315806675574 km
OLIN CORP,"190 Carondelet Plaza, Suite 1530, Clayton, MO, 63105",38.647940000000006,-90.33327,1154.643758273249 km
ONEOK INC,"100 West Fifth Street, Tulsa, OK, 74103",36.15043,-95.99153000000001,1699.648324436675 km
OWENS & MINOR INC,"9120 Lockwood Boulevard, Mechanicsville, VA, 23116",37.64557,-77.40857,142.70397031635062 km
OWENS-ILLINOIS INC,"One Michael Owens Way, Perrysburg, OH, 43551",41.52514,-83.64761999999999,633.5085958079491 km
OXFORD INDUSTRIES INC,"999 Peachtree Street, N.E., Suite 688, Atlanta, GA, 30309",33.78117,-84.38331,869.5642316826371 km
PNC FINANCIAL SVCS GROUP INC,"One PNC Plaza, 249 Fifth Avenue, Pittsburgh, PA, 15222-2707",40.44129,-80.00050999999999,306.4946781458004 km
PPG INDUSTRIES INC,"One PPG Place, Pittsburgh, PA, 15272",40.44011,-80.00332,306.62317625378364 km
PACCAR INC,"777 - 106th Avenue N.E., Bellevue, WA, 98004",47.61618,-122.19963999999999,3735.8157813616576 km
PG&E CORP,"77 Beale Street, PO Box 770000, San Francisco, CA, 94177",37.79148,-122.39591999999999,3925.555063685182 km
SEMPRA ENERGY,"101 Ash Street, San Diego, CA, 92101",32.719409999999996,-117.16338999999999,3660.5571225209324 km
PARK ELECTROCHEMICAL CORP,"48 South Service Road, Suite 300, Melville, NY, 11747",40.783840000000005,-73.44363,372.1623419948671 km
PARKER-HANNIFIN CORP,"6035 Parkland Boulevard, Cleveland, OH, 44124",41.50757,-81.46225,475.10219495683646 km
PARKWAY PROPERTIES INC,"Bank of America Center, Suite 2400, 390 North Orange Avenue, Orlando, FL, 32801",28.54702,-81.37926999999999,1216.0915391436395 km
PAYCHEX INC,"911 Panorama Trail South, Rochester, NY, 14625",43.12535,-77.49342,471.0541366127485 km
AMERICAN FINANCIAL GROUP INC,"Great American Insurance Group Tower, 301 East Fourth Street, Cincinnati, OH, 45202",39.09964,-84.50694,647.1633596218932 km
PENNEY (J C) CO,"6501 Legacy Drive, Plano, TX, 75024",33.08044,-96.83184,1893.2229430211985 km
PPL CORP,"Two North Ninth Street, Allentown, PA, 18101-1179",40.60192,-75.47578,231.82606344058271 km
PENNSYLVANIA RE INVS TRUST,"The Bellevue, 200 South Broad Street, Philadelphia, PA, 19102",39.949040000000004,-75.16455,199.16205329733089 km
PENTAIR PLC,"Sharp Street, Walkden, P.O. Box 471, Manchester, M28 8BU",53.52384,-2.38606,5701.5160362209135 km
PEP BOYS-MANNY MOE & JACK,"3111 West Allegheny Avenue, Philadelphia, PA, 19132",40.00598,-75.18054000000001,201.78685837707496 km
PEPSICO INC,"700 Anderson Hill Road, Purchase, NY, 10577",41.03846,-73.69837,371.35274659500766 km
PDC ENERGY INC,"1775 Sherman Street, Suite 3000, Denver, CO, 80203",39.74454,-104.98518,2401.976264050888 km
PFIZER INC,"235 East 42nd Street, New York, NY, 10017",40.75042,-73.97249000000001,333.4707106608157 km
EXELON CORP,"10 South Dearborn Street, 48th Floor, PO Box 805379, Chicago, IL, 60680",41.8819,-87.62945,957.5266092926998 km
AQUA AMERICA INC,"762 West Lancaster Avenue, Bryn Mawr, PA, 19010",40.01853,-75.31546,193.59632061569476 km
ALTRIA GROUP INC,"6601 West Broad Street, Richmond, VA, 23230",37.5888,-77.50211,150.8430286784788 km
CONOCOPHILLIPS,"600 North Dairy Ashford, Houston, TX, 77079",29.78799,-95.61825999999999,1980.0698886267705 km
PVH CORP,"200 Madison Avenue, New York, NY, 10016",40.748940000000005,-73.98268,332.68539946447487 km
PIEDMONT NATURAL GAS CO,"4720 Piedmont Row Drive, Charlotte, NC, 28210",35.15178,-80.8402,535.8319014263675 km
SENECA FOODS CORP,"3736 South Main Street, Marion, NY, 14505",43.14119,-77.19076,471.4339135441157 km
AGILYSYS INC,"1000 Windward Concourse, Suite 250, Alpharetta, GA, 30005",34.09601,-84.24119,836.3545638945847 km
PIPER JAFFRAY COS INC,"800 Nicollet Mall, Suite 1000, Minneapolis, MN, 55402",44.97558,-93.27387,1502.4469760014915 km
PITNEY BOWES INC,"3001 Summer Street, Stamford, CT, 6926",41.07116,-73.54913,383.45060634539885 km
PLANTRONICS INC,"345 Encinal Street, PO Box 1802, Santa Cruz, CA, 95060",36.986259999999994,-122.03686,3920.794274150975 km
POTLATCH CORP,"601 West First Avenue, Suite 1600, Spokane, WA, 99201",47.65631,-117.42156999999999,3376.7995290004433 km
PEPCO HOLDINGS INC,"701 Ninth Street, NW, Washington, DC, 20068",38.89905,-77.0238,1.3031367052859082 km
POWELL INDUSTRIES INC,"8550 Mosley Road, Houston, TX, 77075",29.64435,-95.25587,1961.0665956968953 km
PRECISION CASTPARTS CORP,"4650 SW Macadam Avenue, Suite 400, Portland, OR, 97239",45.48966,-122.6789,3787.5881899716687 km
PROCTER & GAMBLE CO,"One Procter & Gamble Plaza, Cincinnati, OH, 45202",39.10287,-84.50662,647.1334640616582 km
PNM RESOURCES INC,"414 Silver Avenue SW, Albuquerque, NM, 87102",35.08235,-106.65276000000001,2658.1587820209747 km
PUBLIC SERVICE ENTRP GRP INC,"80 Park Plaza, PO Box 1171, Newark, NJ, 7101",40.78065,-74.17402,322.19796873300913 km
PULTEGROUP INC,"3350 Peachtree Road NE, Atlanta, GA, 30326",33.84746,-84.36804000000001,863.5378579777188 km
QUAKER CHEMICAL CORP,"One Quaker Park, 901 East Hector Street, Conshohocken, PA, 19428",40.07482,-75.29128,199.19148869758172 km
QUALITY SYSTEMS INC,"18111 Von Karman Avenue, Suite 700, Irvine, CA, 92612",33.68002,-117.85408999999999,3681.0376840309523 km
QUESTAR CORP,"333 South State Street, PO Box 45433, Salt Lake City, UT, 84145",40.761790000000005,-111.8874,2970.8031183728476 km
RAYMOND JAMES FINANCIAL CORP,"880 Carillon Parkway, St. Petersburg, FL, 33716",27.89071,-82.66935,1327.700162651395 km
RPM INTERNATIONAL INC,"2628 Pearl Road, PO Box 777, Medina, OH, 44258",41.20236,-81.84411,483.23522409139224 km
RAYTHEON CO,"870 Winter Street, Waltham, MA, 2451",42.40546,-71.28324,623.1891794987246 km
REGAL BELOIT CORP,"200 State Street, Beloit, WI, 53511",42.49835,-89.03689,1088.8100862204803 km
REGIS CORP/MN,"7201 Metro Boulevard, Minneapolis, MN, 55439",44.873020000000004,-93.35218,1504.1920696007833 km
AUTONATION INC,"200 SW 1st Avenue, Fort Lauderdale, FL, 33301",26.12002,-80.14419000000001,1446.4749875424302 km
ROCKWELL AUTOMATION,"1201 South 2nd Street, Milwaukee, WI, 53204",43.018240000000006,-87.91334,1022.4051640895353 km
ROGERS CORP,"One Technology Drive, PO Box 188, Rogers, CT, 6263",,,
ROLLINS INC,"2170 Piedmont Road, N.E., Atlanta, GA, 30324",33.816320000000005,-84.36775,865.8581180856067 km
ROSS STORES INC,"5130 Hacienda Drive, Dublin, CA, 94568",37.710440000000006,-121.89028,3885.2709111429476 km
ROWAN COS PLC,"2800 Post Oak Boulevard, Suite 5450, Houston, 77056",29.737579999999998,-95.46136,1971.026025719583 km
ROYAL GOLD INC,"1660 Wynkoop Street, Suite 1000, Denver, CO, 80202",39.75213,-105.00015,2403.151087950476 km
RYDER SYSTEM INC,"11690 NW 105th Street, Miami, FL, 33178",25.86821,-80.38525,1478.5047805541542 km
SEI INVESTMENTS CO,"1 Freedom Valley Drive, Oaks, PA, 19456",40.139990000000004,-75.44855,194.21393469774182 km
ST JUDE MEDICAL INC,"One St. Jude Medical Drive, St. Paul, MN, 55117",45.01263,-93.10254,1491.345438723815 km
SCANA CORP,"100 SCANA Parkway, Cayce, SC, 29033",33.93973,-81.04529000000001,656.940555840465 km
SCHLUMBERGER LTD,"42, rue Saint-Dominique, Paris, 75007",48.86,2.3109,6178.66261056188 km
SCHOLASTIC CORP,"557 Broadway, New York, NY, 10012",40.724070000000005,-73.99844,329.95888174630676 km
SCHULMAN (A.) INC,"3637 Ridgewood Road, Fairlawn, OH, 44333",41.11032,-81.64285,463.4920497943139 km
SEALED AIR CORP,"8215 Forest Point Boulevard, Charlotte, NC, 28273",35.13177,-80.9059,541.2769447684902 km
SEMTECH CORP,"200 Flynn Road, Camarillo, CA, 93012",34.21712,-119.02118,3760.8881560989144 km
SERVICE CORP INTERNATIONAL,"1929 Allen Parkway, Houston, TX, 77019",29.760140000000003,-95.3871,1963.7426480526071 km
SHERWIN-WILLIAMS CO,"101 West Prospect Avenue, Cleveland, OH, 44115",41.49715,-81.69286,490.1403374517115 km
SMITH (A O) CORP,"11270 West Park Place, Suite 170, PO Box 245008, Milwaukee, WI, 53224",43.151990000000005,-88.05376,1038.7549065279247 km
SMUCKER (JM) CO,"One Strawberry Lane, Orrville, OH, 44667",40.846579999999996,-81.75842,458.01773439490944 km
SNAP-ON INC,"2801 80th Street, Kenosha, WI, 53143",42.55672,-87.84307,998.1364614413399 km
KEYCORP,"127 Public Square, Cleveland, OH, 44114",41.50114,-81.69365,490.44608117397064 km
SONOCO PRODUCTS CO,"1 North Second Street, Hartsville, SC, 29550",34.37724,-80.06591,569.9361159148698 km
SOUTH JERSEY INDUSTRIES INC,"1 South Jersey Plaza, Folsom, NJ, 8037",39.60434,-74.83808,205.5138115946583 km
PIONEER ENERGY SERVICES CORP,"1250 NE Loop 410, Suite 1000, San Antonio, TX, 78209",29.51533,-98.449,2222.916283555883 km
EDISON INTERNATIONAL,"2244 Walnut Grove Avenue, PO Box 976, Rosemead, 91770",34.05075,-118.08101,3686.0864815861714 km
AMERICAN STATES WATER CO,"630 East Foothill Boulevard, San Dimas, CA, 91773",34.12218,-117.79569,3658.6452580362543 km
SOUTHERN CO,"30 Ivan Allen Jr Boulevard NW, Atlanta, GA, 30308",33.76433,-84.38825,871.1709056682522 km
SOUTHWEST AIRLINES,"2702 Love Field Drive, Dallas, TX, 75235",32.84577,-96.86435999999999,1907.3201704892035 km
SOUTHWEST GAS CORP,"5241 Spring Mountain Road, Post Office Box 98510, Las Vegas, NV, 89193",36.1249,-115.21363000000001,3364.5464169489055 km
AT&T INC,"208 South Akard Street, Dallas, TX, 75202",32.77953,-96.79890999999999,1905.0855828871415 km
SOUTHWESTERN ENERGY CO,"10000 Energy Drive, Spring, TX, 77389",30.09876,-95.43715999999999,1945.8842021969826 km
STANDARD MOTOR PRODS,"37-18 Northern Boulevard, Long Island City, NY, 11101",40.751999999999995,-73.92557,336.7452650947977 km
CALATLANTIC GROUP INC,"15360 Barranca Parkway, Irvine, CA, 92618",33.66117,-117.74186,3672.07333174328 km
