,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
0,10/11/1983,0.661025912,0.661463157
1,10/12/1983,0.661025912,0.661463157
2,10/13/1983,0.666000666,0.666444518
3,10/14/1983,0.666666667,0.667111408
4,10/17/1983,0.666666667,0.667111408
5,10/18/1983,0.66613376,0.66657779
6,10/19/1983,0.66613376,0.66657779
7,10/20/1983,0.666888963,0.667334001
8,10/21/1983,0.665557404,0.666000666
9,10/24/1983,0.667111408,0.667556742
10,10/25/1983,0.666666667,0.667111408
11,10/26/1983,0.668002672,0.668449198
12,10/27/1983,0.668806849,0.669254451
13,10/28/1983,0.668672685,0.669120107
14,10/31/1983,0.669209663,0.669657805
15,11/1/1983,0.673174015,0.673627484
16,11/2/1983,0.671952695,0.672404519
17,11/3/1983,0.672043011,0.672494956
18,11/4/1983,0.672494956,0.67294751
19,11/7/1983,0.673400673,0.673854447
20,11/8/1983,0.673854447,0.674308833
21,11/9/1983,0.672856951,0.673309992
22,11/10/1983,0.670690812,0.67114094
23,11/11/1983,0.672404519,0.672856951
24,11/14/1983,0.673627484,0.674081564
25,11/15/1983,0.67294751,0.673400673
26,11/16/1983,0.674536256,0.674991563
27,11/17/1983,0.676132522,0.676589986
28,11/18/1983,0.679902094,0.680364675
29,11/21/1983,0.683526999,0.683994528
30,11/22/1983,0.678518116,0.678978816
31,11/23/1983,0.680179567,0.680642527
32,11/24/1983,0.682687056,0.683153436
33,11/25/1983,0.684134911,0.684603272
34,11/28/1983,0.684556407,0.685025346
35,11/29/1983,0.684228532,0.684697022
36,11/30/1983,0.68119891,0.68189567
37,12/1/1983,0.685494927,0.685965153
38,12/2/1983,0.686341798,0.686813187
39,12/5/1983,0.690846287,0.691323885
40,12/6/1983,0.689560061,0.690035882
41,12/7/1983,0.693144798,0.693625581
42,12/8/1983,0.692856648,0.693337031
43,12/9/1983,0.696767001,0.697252824
44,12/12/1983,0.698567936,0.699056274
45,12/13/1983,0.705467372,0.705965408
46,12/14/1983,0.706214689,0.706713781
47,12/15/1983,0.702987698,0.703482237
48,12/16/1983,0.707113562,0.707613926
49,12/19/1983,0.704970039,0.705467372
50,12/20/1983,0.704473406,0.704970039
51,12/21/1983,0.701754386,0.702247191
52,12/22/1983,0.700525394,0.701016474
53,12/23/1983,0.696864111,0.698080279
54,12/26/1983,0.696864111,0.698080279
55,12/27/1983,0.696864111,0.698080279
56,12/28/1983,0.696864111,0.69735007
57,12/29/1983,0.689893067,0.690369348
58,12/30/1983,0.688705234,0.689179876
59,1/2/1984,0.688705234,0.689179876
60,1/3/1984,0.699300699,0.699790063
61,1/4/1984,0.704970039,0.705467372
62,1/5/1984,0.706713781,0.707213579
63,1/6/1984,0.710732054,0.711237553
64,1/9/1984,0.713521227,0.714030703
65,1/10/1984,0.713266762,0.713775874
66,1/11/1984,0.715922108,0.716435019
67,1/12/1984,0.71540993,0.715922108
68,1/13/1984,0.709219858,0.709723208
69,1/16/1984,0.70323488,0.703729768
70,1/17/1984,0.70861678,0.709119274
71,1/18/1984,0.706963591,0.707463742
72,1/19/1984,0.703977473,0.704473406
73,1/20/1984,0.714030703,0.714540907
74,1/23/1984,0.710479574,0.710984714
75,1/24/1984,0.713775874,0.714285714
76,1/25/1984,0.712758375,0.713266762
77,1/26/1984,0.709219858,0.709723208
78,1/27/1984,0.712402935,0.712910815
79,1/30/1984,0.710378632,0.710883628
80,1/31/1984,0.714030703,0.714540907
81,2/1/1984,0.709068992,0.709572128
82,2/2/1984,0.702740689,0.70323488
83,2/3/1984,0.700280112,0.700770848
84,2/6/1984,0.701508243,0.702000702
85,2/7/1984,0.709370788,0.709874352
86,2/8/1984,0.707063565,0.707563858
87,2/9/1984,0.703482237,0.703977473
