Unnamed: 0,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
6645,3/31/2009,0.698714366,0.698909701
6667,4/30/2009,0.674399784,0.674581759
6710,6/30/2009,0.607164542,0.607312037
6733,7/31/2009,0.597978832,0.598121897
6754,8/31/2009,0.613045611,0.613195977
6776,9/30/2009,0.623908161,0.624063904
6819,11/30/2009,0.609124688,0.609273137
6842,12/31/2009,0.618658748,0.618811881
6906,3/31/2010,0.658111221,0.658284511
6928,4/30/2010,0.654321795,0.654493095
6949,5/31/2010,0.690417012,0.690607735
6971,6/30/2010,0.668493883,0.668672685
7015,8/31/2010,0.651890482,0.652060511
7037,9/30/2010,0.636496722,0.636658815
7080,11/30/2010,0.642219511,0.642384531
7103,12/31/2010,0.64008193,0.640245854
7124,1/31/2011,0.623402531,0.623558022
7144,2/28/2011,0.615081806,0.615233173
7167,3/31/2011,0.622393726,0.622548714
7210,5/31/2011,0.608531613,0.608679774
7232,6/30/2011,0.621542669,0.621697233
7276,8/31/2011,0.614363826,0.614514841
7298,9/30/2011,0.639549757,0.639713408
7319,10/31/2011,0.619962802,0.620116582
7341,11/30/2011,0.636334712,0.636496722
7385,1/31/2012,0.634517766,0.634678853
7406,2/29/2012,0.626644943,0.626802056
7449,4/30/2012,0.616104984,0.616256856
7472,5/31/2012,0.648424329,0.648592554
7515,7/31/2012,0.638121371,0.638284292
7538,8/31/2012,0.630199143,0.630358043
7581,10/31/2012,0.619847518,0.62000124
7603,11/30/2012,0.623908161,0.624063904
7624,12/31/2012,0.614703713,0.614854894
7647,1/31/2013,0.630238861,0.630397781
7667,2/28/2013,0.658457892,0.658631364
7710,4/30/2013,0.643459237,0.643624895
7733,5/31/2013,0.658718135,0.658891744
7776,7/31/2013,0.658457892,0.658631364
7819,9/30/2013,0.617703379,0.61785604
7842,10/31/2013,0.62289772,0.62305296
7885,12/31/2013,0.603573153,0.603718908
7908,1/31/2014,0.607828835,0.607976654
7928,2/28/2014,0.596587519,0.59672992
7949,3/31/2014,0.599592277,0.599736116
7971,4/30/2014,0.592452159,0.592592593
8014,6/30/2014,0.584624379,0.584761125
8037,7/31/2014,0.592206562,0.592346878
8080,9/30/2014,0.616788996,0.616941206
8103,10/31/2014,0.625,0.625156289
8146,12/31/2014,0.641560275,0.641724957
8210,3/31/2015,0.67335533,0.673536741
8232,4/30/2015,0.651678071,0.651847989
8275,6/30/2015,0.636213259,0.636375207
8298,7/31/2015,0.639549757,0.639713408
8319,8/31/2015,0.650533437,0.650702759
8341,9/30/2015,0.661069611,0.661244462
8384,11/30/2015,0.664584303,0.664761018
8407,12/31/2015,0.677966102,0.678150007
