acquirers,0,1,2,3,4
Pinnacle Financial Partners Tennessee,"PINNACLE FINANCIAL PARTNERS, INC.",PINNACLE FINANCIAL CORPORATION,"OCEANPOINT FINANCIAL PARTNERS, MHC","FINANCIAL SHARES, INC.","TENNESSEE VALLEY FINANCIAL HOLDINGS, INC."
Bank of the Ozarks Arkansas,BANK OF THE OZARKS INC,"BANCSHARES OF EASTERN ARKANSAS, INC.",BANK OF THE CAROLINAS CORPORATION,SOUTHEAST ARKANSAS BANK CORPORATION,FIRST NATIONAL BANK OF NORTH ARKANSAS EMPLOYEE STOCK OWNERSHIP TRUST
Baylake Wisconsin,BAYLAKE CORP.,"HOME BANCORP WISCONSIN, INC.","RURAL BANCSHARES OF WISCONSIN, INC.","COMMUNITY BANCSHARES OF WISCONSIN, INC.","NORTHWEST WISCONSIN BANCORP, INC."
Firstmmonwealth Finl Pennsylvania,UNIVEST CORPORATION OF PENNSYLVANIA,FIRST COMMONWEALTH FINANCIAL CORPORATION,"ROYAL BANCSHARES OF PENNSYLVANIA, INC.",FIRST PERSONAL FINANCIAL CORP.,"FIRST WESTERN FINANCIAL, INC."
FNB Bancorp California,FNB BANCORP,"FNB BANCORP, INC.",CNB BANCORP,"BANC OF CALIFORNIA, INC.",MNB BANCORP
Heartland Financial USA Iowa,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",BNH FINANCIAL,HEARTLAND BANCCORP,"OAK FINANCIAL, INC."
Southwest Bancorp Oklahoma,"SOUTHWEST BANCORP, INC.","SOUTHWESTERN BANCORP, INC.",NORTHEAST BANCORP,"FIRST SOUTHWEST BANCORPORATION, INC.","FIRST BANCORP OF OKLAHOMA, INC."
Green Bancorp Texas,"GREEN BANCORP, INC.",RSNB BANCORP,"FIRST GREEN BANCORP, INC.",RESURGENS BANCORP,FNB BANCORP
FNB Pennsylvania,UNIVEST CORPORATION OF PENNSYLVANIA,"ROYAL BANCSHARES OF PENNSYLVANIA, INC.",FNB FINANCIAL CORP.,"FNB, INC.",FNB COMPANY
Heartland Financial USA Iowa,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",BNH FINANCIAL,HEARTLAND BANCCORP,"OAK FINANCIAL, INC."
BNC Bancorp North Carolina,"PEOPLES BANCORP OF NORTH CAROLINA, INC.",BNC BANCORP,NCAL BANCORP,CU BANCORP,BOR BANCORP
Home BancShares Arkansas,"HOME BANCSHARES, INC.","BANCSHARES OF EASTERN ARKANSAS, INC.","HOPE BANCSHARES, INC.","SHORE BANCSHARES, INC.","ARKANSAS VALLEY BANCSHARES, INC."
PBB Bancorp California,PBB BANCORP,CBB BANCORP,RBB BANCORP,TPB BANCORP,"BANC OF CALIFORNIA, INC."
Northwest Bancorp Washington,NORTHEAST BANCORP,FIRST NORTHWEST BANCORP,"NORTHEAST BANCORP, INC.",WASHINGTON BANCORP,NORTH STATE BANCORP
Juniata Valley Financial Pennsylvania,JUNIATA VALLEY FINANCIAL CORP.,"RAE VALLEY FINANCIALS, INC.","VALLEY FINANCIAL GROUP, LTD.",VALLEY FINANCIAL CORPORATION,ALLY FINANCIAL INC.
First Merchants Indiana,FIRST MERCHANTS CORPORATION,"FARMERS & MERCHANTS INVESTMENT, INC.",MERCHANTS BANCORP,"FARMERS & MERCHANTS BANCORP, INC.","FARMERS & MERCHANTS AGENCY, INC."
Citizens Finl Svcs Pennsylvania,"CITIZENS FINANCIAL SERVICES, INC.",UNIVEST CORPORATION OF PENNSYLVANIA,CITIZENS FINANCIAL CORP.,"CITIZENS INVESTORS, LLC","ROYAL BANCSHARES OF PENNSYLVANIA, INC."
Premier Finl Bancorp West Virginia,"PREMIER FINANCIAL BANCORP, INC.","VIRGINIA BANCORP, INC.","FIRST WEST VIRGINIA BANCORP, INC.",PREMIER FINANCIAL CORP.,PREMIER COMMERCIAL BANCORP
Nationalmmerce Alabama,NATIONAL AUSTRALIA BANK LIMITED,NATIONAL BANK OF CANADA,NATIONAL COMMERCE CORPORATION,"UNITED BANCORPORATION OF ALABAMA, INC.","EDUCATIONAL SERVICES OF AMERICA, INC."
Amer Riviera Bank California,AMERICAN RIVER BANKSHARES,PINE RIVER BANK CORP.,"BANC OF CALIFORNIA, INC.",FIRST AMERICAN BANK CORPORATION,RIVERLAND BANCORPORATION
Preferred Bank California,"PREFERRED BANCORP, INC.","BANC OF CALIFORNIA, INC.","NORTHERN CALIFORNIA BANCORP, INC.",OXFORD BANK CORPORATION,FLEETWOOD BANK CORPORATION
Independent Bank Group Texas,"INDEPENDENT BANK GROUP, INC.",INDEPENDENT BANK CORP.,"INDEPENDENT BANCORP., LIMITED",INDEPENDENT BANK CORPORATION,INDEPENDENCE BANCCORP
Suncrest Bank California,SECURITY CALIFORNIA BANCORP,"BANC OF CALIFORNIA, INC.","SUNTRUST BANKS, INC.",FIRST BANK CORP,"NORTHERN CALIFORNIA BANCORP, INC."
Glacier Bancorp Montana,"GLACIER BANCORP, INC.","EAGLE BANCORP MONTANA, INC.",LIBERTY BANCORP,CEDAR BANCORP,BEO BANCORP
FNB Pennsylvania,UNIVEST CORPORATION OF PENNSYLVANIA,"ROYAL BANCSHARES OF PENNSYLVANIA, INC.",FNB FINANCIAL CORP.,"FNB, INC.",FNB COMPANY
Lakeland Bancorp New Jersey,"LAKELAND BANCORP, INC.","BANCORP OF NEW JERSEY, INC.",SAN BANCORP.,NEW ENGLAND BANCORP INC,"HOLLAND BANCORP, INC."
Old Line Bancshares Maryland,"OLD LINE BANCSHARES, INC.","ODIN BANCSHARES, INC.","LINDELL BANCSHARES, INC.","MARINE BANCSHARES, INC.","MIDLAND BANCSHARES, INC."
Prosperity Bancshares Texas,"PROSPERITY BANCSHARES, INC.",SECURITY BANCSHARES CO.,"OLNEY BANCSHARES OF TEXAS, INC.","FIRST BANCSHARES OF TEXAS, INC.","TEXAS SECURITY BANKSHARES, INC."
BNC Bancorp North Carolina,"PEOPLES BANCORP OF NORTH CAROLINA, INC.",BNC BANCORP,NCAL BANCORP,CU BANCORP,BOR BANCORP
BB&T North Carolina,"PEOPLES BANCORP OF NORTH CAROLINA, INC.",BANK OF THE CAROLINAS CORPORATION,BANK OF SOUTH CAROLINA CORPORATION,"METRO NORTH BANCSHARES, INC.",BB&T CORPORATION
Oak Valley Bancorp California,OAK VALLEY BANCORP,"VALLEY BANCORP, INC.","LAKE VALLEY BANCORP, INC.","KAW VALLEY BANCORP, INC.","FREDONIA VALLEY BANCORP, INC."
California Bank ofmmerce California,"BANC OF CALIFORNIA, INC.",CALIFORNIA REPUBLIC BANCORP,NATIONAL BANK OF CANADA,"NORTHERN CALIFORNIA BANCORP, INC.",SECURITY CALIFORNIA BANCORP
Park Sterling North Carolina,PARK STERLING CORPORATION,STERLING BANCORP,"PEOPLES BANCORP OF NORTH CAROLINA, INC.","MOUNT STERLING BANCORP, INC","STERLING BANCSHARES, INC."
Ameris Bancorp Georgia,AMERIS BANCORP,AMERIANA BANCORP,"LIBERTY BANCORP OF GEORGIA, INC.","AMERICAN BANCORP, INC.",BOR BANCORP
Pacific Premier Bancorp California,"PACIFIC PREMIER BANCORP, INC.",PACIFIC ENTERPRISE BANCORP,"PREMIER BANCORP OF ILLINOIS, INC.","REMER BANCORPORATION, INC.",OREGON PACIFIC BANCORP
CenterState Banks Florida,"CENTERSTATE BANKS, INC.",STATE BANK CORP.,"BRANNEN BANKS OF FLORIDA, INC.","ROCHESTER STATE BANKSHARES, INC.",STATE BANK OF INDIA
Republic Bancorp Kentucky,REPUBLIC BANCORP CO.,"REPUBLIC BANCORP, INC.","REPUBLIC FIRST BANCORP, INC.",CALIFORNIA REPUBLIC BANCORP,CU BANCORP
Yadkin Financial North Carolina,YADKIN FINANCIAL CORPORATION,HAINES FINANCIAL CORP,BNH FINANCIAL,MADISON FINANCIAL CORPORATION,MACKINAC FINANCIAL CORPORATION
Bank of the Ozarks Arkansas,BANK OF THE OZARKS INC,"BANCSHARES OF EASTERN ARKANSAS, INC.",BANK OF THE CAROLINAS CORPORATION,SOUTHEAST ARKANSAS BANK CORPORATION,FIRST NATIONAL BANK OF NORTH ARKANSAS EMPLOYEE STOCK OWNERSHIP TRUST
Revere Bank Maryland,PINE RIVER BANK CORP.,"QUEENSTOWN BANCORP OF MARYLAND, INC.","DENVER BANKSHARES, INC.","THREE RIVERS BANKSHARES, INC.",MALVERN BANK CORPORATION
Renasant Mississippi,RENASANT CORPORATION,"COMMUNITY BANCSHARES OF MISSISSIPPI, INC. EMPLOYEE STOCK OWNERSHIP PLAN",GENEVA STATE COMPANY,"FIRST MENASHA BANCSHARES, INC.","CENTRAL MISSOURI SHARES, INC."
Southern BancShares(NC)Inc North Carolina,"SOUTHERN BANCSHARES, INC.","SOUTHERN BANCSHARES (N.C.), INC.","FIRST SOUTHERN BANCSHARES, INC.","SOUTHERN FIRST BANCSHARES, INC.","NORTHERN BANCSHARES, INC."
Heartland Financial USA Iowa,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",BNH FINANCIAL,HEARTLAND BANCCORP,"OAK FINANCIAL, INC."
Fidelity Southern Georgia,FIDELITY SOUTHERN CORPORATION,"FIRST SOUTHERN BANCORP, INC.","SOUTHERN BANCORP, INC","COMMUNITY & SOUTHERN HOLDINGS, INC.",FIDELITY COMPANY
German American Bancorp Indiana,"GERMAN AMERICAN BANCORP, INC.","AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP,"AMERICAN BANCORPORATION, INC.",AMERIANA BANCORP
KeyCorp Ohio,KEYCORP,"ELKCORP, INC.",ONE CORPORATION,ALBANK CORPORATION,KENBANCORP
Seacoast Bankg of Florida Florida,"COMMUNITY BANK OF SOUTH FLORIDA, INC.",STATE BANK OF INDIA,"BRANNEN BANKS OF FLORIDA, INC.","COMMERCE NATIONAL BANKSHARES OF FLORIDA, INC.","BANK OF NOVA SCOTIA, THE"
Cardinal Bankshares Virginia,CARDINAL BANKSHARES CORPORATION,"REGIONAL BANKSHARES, INC.","EASTERN VIRGINIA BANKSHARES, INC.","CAPITAL BANCSHARES, INC","VIRGINIA BANK BANKSHARES, INC."
Bank of the Ozarks Arkansas,BANK OF THE OZARKS INC,"BANCSHARES OF EASTERN ARKANSAS, INC.",BANK OF THE CAROLINAS CORPORATION,SOUTHEAST ARKANSAS BANK CORPORATION,FIRST NATIONAL BANK OF NORTH ARKANSAS EMPLOYEE STOCK OWNERSHIP TRUST
United Bankshares West Virginia,"UNITED BANKSHARES, INC.","UNITED BANCSHARES, INC.","VIRGINIA COMMUNITY BANKSHARES, INC.","COMMUNITY BANCSHARES OF WEST PLAINS, INC","GN BANKSHARES, INC."
